Name,CMC,Type,Color,Set,Collector Number,Rarity,Color Category,Status,Finish,Maybeboard,Image URL,Image Back URL,Tags,Notes,MTGO ID
"Exclude",3,"Instant",U,"mb1","369",uncommon,u,Not Owned,Non-foil,false,,,"flash;spells;aggrocontrol;u2.0;u4.8.2;occasional","",
"Forbid",3,"Instant",U,"exo","35",uncommon,u,Owned,Non-foil,false,,,"occasional","",10459
"Frantic Search",3,"Instant",U,"ulg","32",common,u,Owned,Non-foil,false,,,"occasional","",12615
"Intuition",3,"Instant",U,"tmp","70",rare,u,Owned,Non-foil,false,,,"occasional","",9897
"Neutralize",3,"Instant",U,"iko","59",uncommon,u,Owned,Non-foil,false,,,"u4.9.3;flash;spells;core;control","",80127
"Ojutai's Breath",3,"Instant",U,"ima","68",common,u,Not Owned,Non-foil,false,,,"tappers;flash;spells;aggrocontrol;u2.0;u2.86;u3.8;core;aggro","",66015
"Psionic Blast",3,"Instant",U,"tsb","30",special,u,Owned,Non-foil,false,,,"occasional","",25977
"Repulse",3,"Instant",U,"cn2","119",common,u,Owned,Non-foil,false,,,"spells;aggrocontrol;control;occasional","",
"Rushing River",3,"Instant",U,"pls","30",common,u,Owned,Non-foil,false,,,"core;aggrocontrol;ramp;spells;flash;aggro","",15243
"Scatter to the Winds",3,"Instant",U,"bfz","85",rare,u,Owned,Non-foil,false,,,"occasional","",58625
"Thirst for Knowledge",3,"Instant",U,"ddf","68",uncommon,u,Not Owned,Non-foil,false,,,"artifacts;graveyard;flash;reanimator;spells;aggrocontrol;u2.0;smoothing;core;control;aggro","",37704
"Cryptic Command",4,"Instant",U,"ima","48",rare,u,Owned,Non-foil,false,,,"occasional","",65975
"Dismiss",4,"Instant",U,"cn2","108",uncommon,u,Owned,Non-foil,false,,,"occasional","",
"Fact or Fiction",4,"Instant",U,"inv","57",uncommon,u,Owned,Non-foil,false,,,"flash;spells;graveyard;core;aggro;control","",14505
"Misdirection",5,"Instant",U,"ddt","15",rare,u,Owned,Non-foil,false,,,"occasional","",
"Sublime Epiphany",6,"Instant",U,"m21","74",rare,u,Owned,Non-foil,false,,,"occasional","",81375
"Breakthrough",1,"Sorcery",U,"cns","92",uncommon,u,Owned,Non-foil,false,,,"occasional","",
"Careful Study",1,"Sorcery",U,"ody","70",common,u,Owned,Non-foil,false,,,"occasional","",16929
"Chart a Course",2,"Sorcery",U,"xln","48",uncommon,u,Not Owned,Non-foil,false,,,"graveyard;spells;fliers;reanimator;aggrocontrol;u3.3;smoothing;core;aggro","",65108
"Mind Spring",2,"Sorcery",U,"c20","116",rare,u,Owned,Non-foil,false,,,"occasional","",
"Scour All Possibilities",2,"Sorcery",U,"mh1","67",common,u,Owned,Non-foil,false,,,"core;spells;graveyard;manasink;control","",72506
"Deep Analysis",4,"Sorcery",U,"tor","36",common,u,Owned,Non-foil,false,,,"core;graveyard;spells;lifegain;aggro;control","",17135
"Rite of Replication",4,"Sorcery",U,"c15","105",rare,u,Owned,Non-foil,false,,,"occasional","",
"Startled Awake",4,"Sorcery",U,"soi","88",mythic,u,Owned,Non-foil,false,,,"occasional","",60014
"Rise from the Tides",6,"Sorcery",U,"soi","83",uncommon,u,Not Owned,Non-foil,false,,,"spells;u2.80;core;graveyard;zombies;tokens;control","",59824
"Aether Spellbomb",1,"Artifact",U,"mma","196",common,u,Owned,Non-foil,false,,,"core;artifacts;aggrocontrol;aggro","",48916
"Witching Well",1,"Artifact",U,"eld","74",common,u,Owned,Non-foil,false,,,"artifacts;manasink;flash;occasional","",78260
"Midnight Clock",3,"Artifact",U,"eld","54",rare,u,Owned,Non-foil,false,,,"occasional","",78218
"Cumber Stone",4,"Artifact",U,"con","24",uncommon,u,Owned,Non-foil,false,,,"occasional","",31805
"Curiosity",1,"Enchantment - Aura",U,"isd","49",uncommon,u,Not Owned,Non-foil,false,,,"heroic;fliers;pingers;tappers;fliers_payoff;tappers_payoff;aggrocontrol;u3.8;occasional","",42538
"Curious Obsession",1,"Enchantment - Aura",U,"jmp","148",uncommon,u,Owned,Non-foil,false,,,"core;aggrocontrol;heroic;fliers;tappers;aggro","",
"Spontaneous Mutation",1,"Enchantment - Aura",U,"emn","74",common,u,Owned,Non-foil,false,,,"occasional","",61126
"Compulsion",2,"Enchantment",U,"tor","34",uncommon,u,Owned,Non-foil,false,,,"occasional","",17163
"Ensoul Artifact",2,"Enchantment - Aura",U,"m15","54",uncommon,u,Owned,Non-foil,false,,,"occasional","",53602
"Favorable Winds",2,"Enchantment",U,"cns","98",uncommon,u,Not Owned,Non-foil,false,,,"fliers_payoff;u2.67;u3.6;fliers;occasional","",
"Legacy's Allure",2,"Enchantment",U,"tmp","71",uncommon,u,Owned,Non-foil,false,,,"occasional","",10109
"Medomai's Prophecy",2,"Enchantment - Saga",U,"thb","53",uncommon,u,Owned,Non-foil,false,,,"core;smoothing;control","",79230
"One With the Wind",2,"Enchantment - Aura",U,"xln","64",common,u,Owned,Non-foil,false,,,"occasional","",65140
"Pendrell Flux",2,"Enchantment - Aura",U,"usg","87",common,u,Owned,Non-foil,false,,,"occasional","",12281
"Rune of Flight",2,"Enchantment - Aura Rune",U,"khm","75",uncommon,u,Owned,Non-foil,false,,,"core;heroic;fliers;artifacts;smoothing;aggro","",87477
"Standstill",2,"Enchantment",U,"ody","102",uncommon,u,Not Owned,Non-foil,false,,,"flash;aggrocontrol;u2.0;occasional","",16855
"Domestication",4,"Enchantment - Aura",U,"m14","53",rare,u,Owned,Non-foil,false,,,"occasional","",49199
"Mechanized Production",4,"Enchantment - Aura",U,"aer","38",mythic,u,Owned,Non-foil,false,,,"occasional","",62559
"The Antiquities War",4,"Enchantment - Saga",U,"dom","42",rare,u,Owned,Non-foil,false,,,"core;artifacts_payoff;artifacts","",67549
"Thopter Spy Network",4,"Enchantment",U,"ori","79",rare,u,Not Owned,Non-foil,false,,,"artifacts;stax;artifacts_payoff;evasion;u2.0;core","",57906
"Time of Ice",4,"Enchantment - Saga",U,"dom","70",uncommon,u,Not Owned,Non-foil,false,,,"tappers;tappers_payoff;aggrocontrol;u4.4;core;aggro;control","",67605
"Corrupted Conscience",5,"Enchantment - Aura",U,"mbs","22",uncommon,u,Owned,Non-foil,false,,,"occasional","",39509
"The Mirari Conjecture",5,"Enchantment - Saga",U,"dom","57",rare,u,Owned,Non-foil,false,,,"occasional","",67579
"Ongoing Investigation",2,"Enchantment",UG,"soi","77",uncommon,Blue,Not Owned,Non-foil,false,,,"artifacts;manasink;fliers;lifegain;graveyard;tokens;tappers;wide;stax;fliers_payoff;tappers_payoff;aggrocontrol;u2.78;u4.1;core;aggro","",60358
"Bloodsoaked Champion",1,"Creature - Human Warrior",B,"ktk","66",rare,b,Not Owned,Non-foil,false,,,"sacrifice;stax;humans;graveyard;wide;aggrocontrol;u2.60;occasional","",54172
"Carnophage",1,"Creature - Zombie",B,"exo","53",common,b,Owned,Non-foil,false,,,"core;zombies;aggro;aggrocontrol;lifegain","",10655
"Carrion Feeder",1,"Creature - Zombie",B,"dde","2",common,b,Owned,Non-foil,false,,,"core;sacrifice;counters;zombies;aggro","",35501
"Changeling Outcast",1,"Creature - Shapeshifter",B,"mh1","82",common,b,Owned,Non-foil,false,,,"u4.9.3;tribal;zombies;rogues;occasional","",72536
"Cryptbreaker",1,"Creature - Zombie",B,"emn","86",rare,b,Not Owned,Non-foil,false,,,"zombies;graveyard;reanimator;tokens;wide;tribal_payoff;u2.98;smoothing;core;manasink;control","",61372
"Gravecrawler",1,"Creature - Zombie",B,"ddq","59",rare,b,Owned,Non-foil,false,,,"core;zombies;tribal_payoff;sacrifice;graveyard;aggro","",
"Shambling Ghast",1,"Creature - Zombie",B,"afr","119",common,b,Owned,Non-foil,false,,,"artifacts;removal;sacrifice;zombies;core;ramp;control","",91740
"Blood Artist",2,"Creature - Vampire",B,"avr","86",uncommon,b,Not Owned,Non-foil,false,,,"sacrifice;lifegain;tokens;u2.0;core;aggro;control","",44105
"Cabal Interrogator",2,"Creature - Zombie Wizard",B,"scg","57",uncommon,b,Owned,Non-foil,false,,,"occasional","",18802
"Dark Confidant",2,"Creature - Human Wizard",B,"rav","81",rare,b,Not Owned,Non-foil,false,,,"humans;wizards;aggrocontrol;lifegain;u4.7.13;smoothing;core;aggro","",23084
"Heir of Falkenrath",2,"Creature - Vampire",B,"soi","116",uncommon,b,Owned,Non-foil,false,,,"occasional","",59960
"Kiku, Night's Flower",2,"Legendary Creature - Human Assassin",B,"chk","121",rare,b,Not Owned,Non-foil,false,,,"control;humans;flash;u2.84;manasink;occasional","",21251
"Kitesail Freebooter",2,"Creature - Human Pirate",B,"xln","110",uncommon,b,Not Owned,Non-foil,false,,,"humans;fliers;evasion;aggrocontrol;u3.4;core;aggro","",65236
"Mire Triton",2,"Creature - Zombie Merfolk",B,"thb","105",uncommon,b,Owned,Non-foil,false,,,"core;zombies;lifegain;graveyard;blink;aggro;control","",79334
"Nantuko Shade",2,"Creature - Insect Shade",B,"tor","74",rare,b,Owned,Non-foil,false,,,"manasink;aggro;control;occasional","",17211
"Nezumi Cutthroat",2,"Creature - Rat Warrior",B,"a25","99",common,b,Owned,Non-foil,false,,,"occasional","",67112
"Nezumi Graverobber",2,"Creature - Rat Rogue",B,"cm2","71",uncommon,b,Owned,Non-foil,false,,,"core;rogues;graveyard;manasink;reanimator;aggro;control","",
"Oona's Blackguard",2,"Creature - Faerie Rogue",B,"mor","72",uncommon,b,Owned,Non-foil,false,,,"fliers;counters_payoff;counters;rogues;occasional","",29162
"Oona's Prowler",2,"Creature - Faerie Rogue",B,"lrw","133",rare,b,Not Owned,Non-foil,false,,,"fliers;graveyard;evasion;aggrocontrol;u2.0;core;rogues;aggro","",28739
"Order of Midnight",2,"Creature - Human Knight",B,"eld","99",uncommon,b,Owned,Non-foil,false,,,"u4.9.3;humans;fliers;spells;graveyard;aggrocontrol;manasink;core;aggro","",78314
"Piper of the Swarm",2,"Creature - Human Warlock",B,"eld","100",rare,b,Owned,Non-foil,false,,,"occasional","",78318
"Priest of Forgotten Gods",2,"Creature - Human Cleric",B,"rna","83",rare,b,Owned,Non-foil,false,,,"core;humans;sacrifice","",71166
"Reassembling Skeleton",2,"Creature - Skeleton Warrior",B,"m19","116",uncommon,b,Owned,Non-foil,false,,,"occasional","",68393
"Relentless Dead",2,"Creature - Zombie",B,"soi","131",mythic,b,Owned,Non-foil,false,,,"occasional","",60018
"Sepulcher Ghoul",2,"Creature - Zombie",B,"afr","118",common,b,Owned,Non-foil,false,,,"core;sacrifice;zombies;aggro","",91738
"Sinister Starfish",2,"Creature - Starfish",B,"mh2","99",common,b,Owned,Non-foil,false,,,"core;graveyard;control;smoothing","",90571
"Wall of Souls",2,"Creature - Wall",B,"sth","75",uncommon,b,Owned,Non-foil,false,,,"occasional","",10439
"Wight of Precinct Six",2,"Creature - Zombie",B,"jmp","287",common,b,Owned,Non-foil,false,,,"occasional","",
"Audacious Thief",3,"Creature - Human Rogue",B,"m20","84",common,b,Owned,Non-foil,false,,,"core;humans;rogues;tappers;aggrocontrol;heroic;aggro","",73067
"Banewhip Punisher",3,"Creature - Human Warrior",B,"hou","59",uncommon,b,Not Owned,Non-foil,false,,,"blink;counters;humans;u3.4;removal;core;aggro;control","",64602
"Cemetery Reaper",3,"Creature - Zombie",B,"m12","86",rare,b,Owned,Non-foil,false,,,"core;zombies;graveyard;tokens","",41183
"Dusk Urchins",3,"Creature - Ouphe",B,"shm","65",rare,b,Owned,Non-foil,false,,,"core;counters;sacrifice;smoothing;aggro;control","",29413
"Hypnotic Specter",3,"Creature - Specter",B,"10e","151",rare,b,Not Owned,Non-foil,false,,,"fliers;evasion;aggrocontrol;u2.0;u2.89;u4.5;occasional","",27693
"Mad Auntie",3,"Creature - Goblin Shaman",B,"mma","90",uncommon,b,Owned,Non-foil,false,,,"occasional","",48672
"Necroskitter",3,"Creature - Elemental",B,"mm2","88",rare,b,Not Owned,Non-foil,false,,,"counters;counters_payoff;u4.7;core;control","",57074
"Nyxathid",3,"Creature - Elemental",B,"bbd","153",rare,b,Owned,Non-foil,false,,,"occasional","",
"Pawn of Ulamog",3,"Creature - Vampire Shaman",B,"roe","122",uncommon,b,Owned,Non-foil,false,,,"occasional","",36662
"Royal Assassin",3,"Creature - Human Assassin",B,"m11","116",rare,b,Not Owned,Non-foil,false,,,"tappers;control;humans;tappers_payoff;u2.80;occasional","",37540
"Ruin Raider",3,"Creature - Orc Pirate",B,"xln","118",rare,b,Owned,Non-foil,false,,,"occasional","",65252
"Skullport Merchant",3,"Creature - Dwarf Citizen",B,"afr","120",uncommon,b,Owned,Non-foil,false,,,"core;sacrifice;artifacts;manasink;ramp;control","",91742
"Stinkweed Imp",3,"Creature - Imp",B,"gk1","53",common,b,Owned,Non-foil,false,,,"graveyard;fliers;occasional","",
"Varragoth, Bloodsky Sire",3,"Legendary Creature - Demon Rogue",B,"khm","115",rare,b,Owned,Non-foil,false,,,"rogues;manasink;aggrocontrol;core;aggro;control","",87563
"Yahenni, Undying Partisan",3,"Legendary Creature - Aetherborn Vampire",B,"aer","74",rare,b,Owned,Non-foil,false,,,"occasional","",62701
"Abyssal Persecutor",4,"Creature - Demon",B,"ima","78",rare,b,Owned,Non-foil,false,,,"occasional","",66035
"Bone Picker",4,"Creature - Bird",B,"akh","81",uncommon,b,Not Owned,Non-foil,false,,,"sacrifice;fliers;evasion;aggrocontrol;u3.0;core;aggro;control","",63764
"Braids, Cabal Minion",4,"Legendary Creature - Human Minion",B,"ody","117",rare,b,Not Owned,Non-foil,false,,,"stax;tokens;sacrifice;humans;u4.7;core;artifacts","",16749
"Crypt Ghast",4,"Creature - Spirit",B,"c14","139",rare,b,Owned,Non-foil,false,,,"occasional","",55047
"Hell Mongrel",4,"Creature - Nightmare Dog",B,"mh2","88",common,b,Owned,Non-foil,false,,,"graveyard;core;reanimator","",90549
"Horobi, Death's Wail",4,"Legendary Creature - Spirit",B,"chk","117",rare,b,Owned,Non-foil,false,,,"occasional","",21245
"Nekrataal",4,"Creature - Human Assassin",B,"ema","99",uncommon,b,Owned,Non-foil,false,,,"occasional","",60555
"Skinrender",4,"Creature - Zombie",B,"som","78",uncommon,b,Not Owned,Non-foil,false,,,"zombies;counters;blink;aggrocontrol;u2.0;u4.5;removal;core;aggro;control","",38453
"Gray Merchant of Asphodel",5,"Creature - Zombie",B,"thb","99",uncommon,b,Owned,Non-foil,false,,,"lifegain;zombies;blink;occasional","",79322
"Noxious Ghoul",5,"Creature - Zombie",B,"lgn","77",uncommon,b,Owned,Non-foil,false,,,"u4.9.3;zombies;blink;tribal_payoff;occasional","",18561
"Ob Nixilis, the Fallen",5,"Legendary Creature - Demon",B,"ima","101",mythic,b,Owned,Non-foil,false,,,"occasional","",66081
"Priest of the Blood Rite",5,"Creature - Human Cleric",B,"ori","112",rare,b,Not Owned,Non-foil,false,,,"blink;sacrifice;stax;humans;tokens;fliers;lifegain;ramp;wide;evasion;u2.65;u4.1;core;aggro","",57950
"Syr Konrad, the Grim",5,"Legendary Creature - Human Knight",B,"znc","56",uncommon,b,Owned,Non-foil,false,,,"occasional","",
"Throat Slitter",5,"Creature - Rat Ninja",B,"pca","37",uncommon,b,Owned,Non-foil,false,,,"core;aggrocontrol;blink;removal;aggro","",
"Kokusho, the Evening Star",6,"Legendary Creature - Dragon Spirit",B,"mma","89",mythic,b,Owned,Non-foil,false,,,"core;ramp;fliers;control;lifegain;sacrifice","",48962
"Marionette Master",6,"Creature - Human Artificer",B,"kld","90",rare,b,Owned,Non-foil,false,,,"core;artifacts;humans;counters","",61941
"Noosegraf Mob",6,"Creature - Zombie",B,"emn","98",rare,b,Not Owned,Non-foil,false,,,"counters;zombies;tokens;wide;blink;stax;u4.6.3;reanimator;occasional","",61374
"Skeletal Vampire",6,"Creature - Vampire Skeleton",B,"gk2","34",rare,b,Owned,Non-foil,false,,,"occasional","",
"Tasigur, the Golden Fang",6,"Legendary Creature - Human Shaman",B,"uma","117",rare,Black,Owned,Non-foil,false,,,"occasional","",70019
"Visara the Dreadful",6,"Legendary Creature - Gorgon",B,"ema","114",rare,b,Owned,Non-foil,false,,,"occasional","",60767
"Overseer of the Damned",7,"Creature - Demon",B,"e01","36",rare,b,Not Owned,Non-foil,false,,,"ramp;reanimator;zombies;control;fliers;u4.9;removal;blink;occasional","",
"Dark Ritual",1,"Instant",B,"a25","82",common,b,Owned,Non-foil,false,,,"occasional","",67078
"Fatal Push",1,"Instant",B,"aer","57",uncommon,b,Owned,Non-foil,false,,,"occasional","",62689
"Fungal Infection",1,"Instant",B,"dom","94",common,b,Owned,Non-foil,false,,,"occasional","",67653
"Supernatural Stamina",1,"Instant",B,"akh","111",common,b,Owned,Non-foil,false,,,"occasional","",63824
"Tragic Slip",1,"Instant",B,"dka","76",common,b,Not Owned,Non-foil,false,,,"sacrifice;spells;flash;u2.0;removal;core;aggro;control","",43189
"Undying Evil",1,"Instant",B,"dka","77",common,b,Not Owned,Non-foil,false,,,"blink;heroic;counters;spells;flash;aggrocontrol;u2.79;core;aggro","",43393
"Village Rites",1,"Instant",B,"khm","117",common,b,Owned,Non-foil,false,,,"sacrifice;flash;spells;occasional","",87567
"Doom Blade",2,"Instant",B,"e02","18",uncommon,b,Owned,Non-foil,false,,,"removal;spells;flash;occasional","",
"Last Gasp",2,"Instant",B,"rav","93",common,b,Owned,Non-foil,false,,,"core;spells;flash;removal;aggro;control","",23446
"Smother",2,"Instant",B,"ddp","57",uncommon,b,Owned,Non-foil,false,,,"occasional","",
"Subtle Strike",2,"Instant",B,"kld","100",common,b,Owned,Non-foil,false,,,"occasional","",61665
"Dismember",3,"Instant",B,"mm2","79",uncommon,b,Owned,Non-foil,false,,,"occasional","",57330
"Grim Affliction",3,"Instant",B,"mm2","84",common,b,Owned,Non-foil,false,,,"occasional","",57316
"Sudden Death",3,"Instant",B,"tsp","134",uncommon,b,Owned,Non-foil,false,,,"occasional","",25743
"Bake into a Pie",4,"Instant",B,"eld","76",common,b,Not Owned,Non-foil,false,,,"artifacts;spells;lifegain;flash;u4.8;removal;core;control","",78264
"Torment of Venom",4,"Instant",B,"hou","79",common,b,Owned,Non-foil,false,,,"counters;removal;core;spells;flash;aggro;control","",64642
"Contagion",5,"Instant",B,"all","45",uncommon,b,Owned,Non-foil,false,,,"occasional","",
"Rescue from the Underworld",5,"Instant",B,"ths","102",uncommon,b,Owned,Non-foil,false,,,"occasional","",50380
"Blackmail",1,"Sorcery",B,"9ed","115",uncommon,b,Owned,Non-foil,false,,,"core;aggrocontrol;spells;aggro","",22715
"Cabal Therapy",1,"Sorcery",B,"jud","62",uncommon,b,Owned,Non-foil,false,,,"occasional","",17496
"Innocent Blood",1,"Sorcery",B,"e02","19",common,b,Owned,Non-foil,false,,,"occasional","",
"Reanimate",1,"Sorcery",B,"uma","110",rare,b,Owned,Non-foil,false,,,"core;graveyard;spells;lifegain;reanimator;aggro","",70017
"Collective Brutality",2,"Sorcery",B,"emn","85",rare,b,Owned,Non-foil,false,,,"occasional","",61144
"Feed the Swarm",2,"Sorcery",B,"znr","102",common,b,Owned,Non-foil,false,,,"core;removal;enchantment_removal;lifegain;spells;aggro;control","",83167
"Night's Whisper",2,"Sorcery",B,"5dn","55",uncommon,b,Not Owned,Non-foil,false,,,"lifegain;spells;aggrocontrol;u2.0;smoothing;core;aggro;control","",20816
"Profane Command",2,"Sorcery",B,"c20","135",rare,b,Owned,Non-foil,false,,,"occasional","",
"Sign in Blood",2,"Sorcery",B,"cm2","77",common,b,Owned,Non-foil,false,,,"occasional","",
"Torment of Hailfire",2,"Sorcery",B,"hou","77",rare,b,Not Owned,Non-foil,false,,,"control;ramp;spells;u4.1;occasional","",64638
"Bleeding Edge",3,"Sorcery",B,"war","78",uncommon,b,Owned,Non-foil,false,,,"core;removal;counters;tokens;zombies;spells;control;aggro","",71762
"Buried Alive",3,"Sorcery",B,"uma","88",uncommon,b,Owned,Non-foil,false,,,"occasional","",70249
"Infest",3,"Sorcery",B,"cn2","139",uncommon,b,Owned,Non-foil,false,,,"occasional","",
"Never // Return",3,"Sorcery",B,"akh","212",rare,b,Owned,Non-foil,false,,,"core;graveyard;zombies;tokens;removal;manasink;spells;aggro;control","",64038
"Read the Bones",3,"Sorcery",B,"ths","101",common,b,Owned,Non-foil,false,,,"occasional","",50170
"Stupor",3,"Sorcery",B,"tsb","48",special,b,Not Owned,Non-foil,false,,,"spells;aggrocontrol;u2.0;core;aggro","",26079
"Damnation",4,"Sorcery",B,"sld","121",rare,b,Owned,Non-foil,false,,,"wrath;control;core;spells;removal","",
"Dread Return",4,"Sorcery",B,"c14","142",uncommon,b,Not Owned,Non-foil,false,,,"graveyard;sacrifice;spells;reanimator;u3.9;u4.7;occasional","",55286
"Extinction Event",4,"Sorcery",B,"iko","88",rare,b,Owned,Non-foil,false,,,"occasional","",80185
"Mutilate",4,"Sorcery",B,"tor","73",rare,b,Owned,Non-foil,false,,,"occasional","",17337
"Crux of Fate",5,"Sorcery",B,"frf","65",rare,b,Not Owned,Non-foil,false,,,"spells;wrath;u2.0;u4.1;removal;occasional","",55450
"From Under the Floorboards",5,"Sorcery",B,"soi","111",rare,b,Owned,Non-foil,false,,,"graveyard;zombies;tokens;lifegain;core;spells;control","",60092
"Incremental Blight",5,"Sorcery",B,"arc","17",uncommon,b,Owned,Non-foil,false,,,"occasional","",
"Living Death",5,"Sorcery",B,"cm2","68",rare,b,Owned,Non-foil,false,,,"occasional","",
"Necromantic Summons",5,"Sorcery",B,"ori","110",uncommon,b,Owned,Non-foil,false,,,"core;spells;reanimator;graveyard;mill;control","",57978
"Army of the Damned",8,"Sorcery",B,"c18","113",mythic,b,Owned,Non-foil,false,,,"occasional","",
"Decree of Pain",8,"Sorcery",B,"c13","72",rare,b,Owned,Non-foil,false,,,"occasional","",51286
"Thieves' Tools",2,"Artifact - Equipment",B,"afr","122",common,b,Owned,Non-foil,false,,,"aggrocontrol;artifacts;core;ramp;aggro","",91746
"Wishclaw Talisman",2,"Artifact",B,"eld","110",rare,b,Owned,Non-foil,false,,,"occasional","",78342
"Phyrexian Reclamation",1,"Enchantment",B,"ulg","63",uncommon,b,Owned,Non-foil,false,,,"lifegain;manasink;graveyard;occasional","",12705
"Unholy Strength",1,"Enchantment - Aura",B,"7ed","168",common,b,Owned,Non-foil,false,,,"occasional","",15948
"Warlock Class",1,"Enchantment - Class",B,"afr","125",uncommon,b,Owned,Non-foil,false,,,"occasional","",91752
"Animate Dead",2,"Enchantment - Aura",B,"4ed","118",uncommon,b,Owned,Non-foil,false,,,"occasional","",
"Rune of Mortality",2,"Enchantment - Aura Rune",B,"khm","108",uncommon,b,Owned,Non-foil,false,,,"core;heroic;artifacts;smoothing;aggro;control","",87545
"Necromancy",3,"Enchantment",B,"vis","64",uncommon,b,Owned,Non-foil,false,,,"core;reanimator;graveyard","",7649
"Phyrexian Arena",3,"Enchantment",B,"dde","27",rare,b,Not Owned,Non-foil,false,,,"lifegain;u2.0;control;smoothing;core;aggro;control","",35497
"Demonic Pact",4,"Enchantment",B,"ori","92",mythic,b,Owned,Non-foil,false,,,"occasional","",57934
"Diabolic Servitude",4,"Enchantment",B,"cma","53",uncommon,b,Owned,Non-foil,false,,,"core;reanimator;graveyard;aggro","",
"Night of Souls' Betrayal",4,"Legendary Enchantment",B,"ima","99",rare,b,Owned,Non-foil,false,,,"occasional","",66077
"Pestilence",4,"Enchantment",B,"brb","49",uncommon,b,Owned,Non-foil,false,,,"occasional","",
"Liliana's Mastery",5,"Enchantment",B,"gnt","32",rare,b,Owned,Non-foil,false,,,"occasional","",
"Sanguine Bond",5,"Enchantment",B,"ima","107",uncommon,b,Owned,Non-foil,false,,,"occasional","",66093
"Blazing Rootwalla",1,"Creature - Lizard",R,"mh2","115",uncommon,r,Owned,Non-foil,false,,,"core;graveyard;manasink;aggro;aggrocontrol","",90603
"Bomat Courier",1,"Artifact Creature - Construct",,"kld","199",rare,Red,Not Owned,Non-foil,false,,,"artifacts;burn;aggrocontrol;u4.7.6;core;manasink;graveyard;aggro","",62075
"Goblin Banneret",1,"Creature - Goblin Soldier",R,"grn","102",uncommon,r,Owned,Non-foil,false,,,"core;manasink;counters;goblins;aggro;heroic","",69577
"Goblin Guide",1,"Creature - Goblin Scout",R,"2xm","127",rare,r,Owned,Non-foil,false,,,"core;goblins;aggrocontrol;burn;wide;aggro","",82288
"Goblin Welder",1,"Creature - Goblin Artificer",R,"cm2","101",rare,r,Owned,Non-foil,false,,,"occasional","",
"Grim Lavamancer",1,"Creature - Human Wizard",R,"m12","145",rare,r,Not Owned,Non-foil,false,,,"wizards;humans;graveyard;burn;u2.0;core;removal;aggro;control","",41611
"Magus of the Scroll",1,"Creature - Human Wizard",R,"tsp","169",rare,r,Owned,Non-foil,false,,,"occasional","",25921
"Monastery Swiftspear",1,"Creature - Human Monk",R,"ima","140",uncommon,r,Not Owned,Non-foil,false,,,"spells;burn;aggrocontrol;humans;u2.60;u2.69;u3.1;u4.9;core;aggro","",66159
"Spikeshot Elder",1,"Creature - Goblin Shaman",R,"som","104",rare,r,Not Owned,Non-foil,false,,,"heroic;goblins;manasink;flash;wide;u2.0;u2.80;core;pingers;removal;aggro;control","",38297
"Battle Cry Goblin",2,"Creature - Goblin",R,"afr","132",uncommon,r,Owned,Non-foil,false,,,"core;goblins;tokens;aggro;manasink","",91766
"Bloodbraid Marauder",2,"Creature - Human Berserker",R,"mh2","116",rare,r,Owned,Non-foil,false,,,"occasional","",90605
"Burning-Fist Minotaur",2,"Creature - Minotaur Wizard",R,"hou","85",uncommon,r,Owned,Non-foil,false,,,"core;graveyard;aggrocontrol;aggro;control","",64654
"Dark-Dweller Oracle",2,"Creature - Goblin Shaman",R,"m19","134",rare,r,Not Owned,Non-foil,false,,,"goblins;sacrifice;tokens;burn;u4.4;smoothing;core;aggro","",68429
"Dismissive Pyromancer",2,"Creature - Human Wizard",R,"m19","136",rare,r,Not Owned,Non-foil,false,,,"humans;wizards;graveyard;u4.8;smoothing;core;removal;manasink;aggro;control","",68433
"Dreadhorde Arcanist",2,"Creature - Zombie Wizard",R,"war","125",rare,r,Owned,Non-foil,false,,,"core;spells;graveyard;zombies;wizards;heroic;burn;aggro","",71856
"Earthshaker Khenra",2,"Creature - Jackal Warrior",R,"hou","90",rare,r,Owned,Non-foil,false,,,"occasional","",64664
"Eidolon of the Great Revel",2,"Enchantment Creature - Spirit",R,"a25","128",rare,r,Owned,Non-foil,false,,,"occasional","",67170
"Fireslinger",2,"Creature - Human Wizard",R,"dd2","36",common,r,Not Owned,Non-foil,false,,,"wizards;humans;pingers;u2.80;u4.2;occasional","",31536
"Goblin Cratermaker",2,"Creature - Goblin Warrior",R,"grn","103",uncommon,r,Not Owned,Non-foil,false,,,"goblins;artifact_removal;u4.6.1;core;removal;aggro;control","",69579
"Goblin Piledriver",2,"Creature - Goblin Warrior",R,"sld","21",rare,r,Owned,Non-foil,false,,,"occasional","",
"Goblin Wardriver",2,"Creature - Goblin Warrior",R,"ddt","50",uncommon,r,Owned,Non-foil,false,,,"occasional","",
"Hobgoblin Captain",2,"Creature - Goblin Barbarian",R,"afr","148",common,r,Owned,Non-foil,false,,,"core;aggro;goblins;heroic","",91798
"Kiln Fiend",2,"Creature - Elemental Beast",R,"roe","153",common,r,Not Owned,Non-foil,false,,,"spells;burn;aggrocontrol;u2.60;u3.4;occasional","",36668
"Magda, Brazen Outlaw",2,"Legendary Creature - Dwarf Berserker",R,"khm","142",rare,r,Owned,Non-foil,false,,,"artifacts;core;aggro;ramp","",87619
"Mogg War Marshal",2,"Creature - Goblin Warrior",R,"ema","139",common,r,Not Owned,Non-foil,false,,,"goblins;blink;sacrifice;tokens;wide;stax;u2.0;core;control","",60941
